 JuiceRec , LPT ,  JuiceBrix  
25.18,474.48,10.77
27.12,496.49,10.4
28.89,530.93,10.37
29.3,501.21,10.7
32.63,488.95,11.39
29.83,538.92,10.95
29.62,475.97,10.16
29.66,552.03,10.6
31.65,506.05,11.12
27.96,493.58,10.87
28.37,472.11,11.05
28.94,525.49,10.99
26.38,471.87,10.81
28.91,524.96,10.46
27.66,529.02,10.02
27.97,507.42,10.23
28.54,547.23,9.47
26.51,458.95,10.31
25.78,514.73,10.29
27.99,532.88,10.56
29.4,599.79,10.4
29.49,577.21,10.31
28.65,565.82,10.94
28.5,552.09,11.02
29.14,531.11,11.29
29.8,566.7,11.32
29.93,458.45,11.42
28.35,492.73,11.27
27.95,516.44,10.77
27.72,490.21,11.05
28.73,516.26,11.2
25.83,515.33,11.39
28.69,533.84,11.3
27,506.79,10.89
27.11,524.87,10.98
27.07,494.23,10.73
26.56,522.46,10.63
28.26,414.14,10.72
21.24,451.24,10.34
26.37,494.85,10.72
25.31,479.03,10.2
25.53,540.27,9.94
26.67,485.55,10.07
22.23,453.16,10.36
28.79,560,9.8
25.4,463.38,10.35
25.86,503.61,10.49
25.85,485.55,10.38
23.66,460.73,9.92
24.27,482.7,9.96
21.9,452.74,9.99
23.48,488.52,10.84
14.76,537.65,8.93
22.26,484.23,9.93
20.08,547.18,10.22
25.49,498.28,10.54
23.75,525.08,10.24
21.88,492.58,10.06
24.27,497.28,10.07
25.35,504.49,10.39
20.81,568.68,10.29
21.36,455.86,10.41
18.24,502.77,9.86
5.32,486.43,10.2
25.8,499.5,9.9
11.86,508.16,9.74
20.29,494.17,9.61
11.45,474.7,9.41
12.53,478.43,9.36
20.73,539.58,9
49.38,407.44,10.69
25.91,456.55,11.27
23.96,480.32,11.17
25.19,412.74,11.43
23.04,399.21,11.72
23.5,448.53,11.8
28.69,494.05,11.37
23.27,415.17,11.03
19.02,454.19,11.15
21.12,443.29,10.8
22.12,444.34,10.45
20.48,434.66,10.59
22.76,405.11,10.53
22.12,415.53,10.67
21.13,421.27,10.61
19.25,423.26,10.29
19.5,428.28,10.61
19.05,397.81,10.22
22.07,419.39,10.59
22.22,413.13,10.67
20.89,447.85,10.26
15.11,440.26,10.31
21.4,406.53,11.26
21.4,467.1,10.85
24.53,455.14,10.94
24.87,450.7,10.74
24.15,462.34,10.24
26.77,482.66,10.57
25.43,448.96,10.61
